Open;High;Low;Close
358.95;365;353;358.04
375.98;377.5;357.89;358.51
371.28;381;367.3;378.77
356.46;373.81;355.44;371.28
340.91;355.38;337;353.72
340.07;354.44;339.17;343
342.57;343;333.83;340.45
334.29;345;332;340.57
344.69;348.8;336;338.53
344.54;345.05;340.11;343.32
337.98;352.33;336.31;348.67
326.45;333.87;324.27;331.48
324.85;328;320.56;323.87
309.27;331.96;304.22;324.7
298.04;309.35;295.15;306.5
288.35;303.5;288.35;303.08
299.14;299.5;282.75;282.75
305.02;308.25;295.7;299.67
297.57;303.58;286.79;298.99
310;313.8;297.75;300.97
311.77;320.6;310.39;314.32
316.31;318.95;310.23;312.69
327.5;327.5;313.4;315.07
318.28;325.19;317.34;325.19
328.32;330.91;318.75;322.01
332.98;340.8;326.39;334.06
321;331.24;315;328.05
308.6;321.82;305.5;321.32
304.2;311;302.61;307.65
300.8;306.81;298.71;303.11
300.22;301.38;291.58;297.42
304.07;305.26;298.31;300.36
301.48;306.34;298.38;302.95
300.43;303.31;296.67;298.02
308.56;309.5;290.63;297.11
310.99;317.79;309;310.17
316.7;320.35;309.11;310.28
318.64;322.13;312.42;315.24
314.52;329.5;311.27;325.28
314.01;318.49;305.11;310.67
295.71;316.47;294;315.76
304.17;312.88;297.8;300.22
309.24;314.9;304.51;308.82
297.69;318;297.01;305.97
289.99;309.44;282;302.11
271.02;284.24;264.02;283.99
276.53;283.49;268.77;274.34
269.85;281.36;265.34;279.43
269.73;277.78;262.58;275.11
286.68;287.38;265.98;265.99
290.58;296.45;288.28;292.96
280.28;295.46;276.2;292.09
268.68;286.66;267.32;282.05
269.26;269.95;249.01;257.44
262.51;269.37;247.3;262.43
274.89;282.94;259.04;259.56
295.39;300.19;278.58;280.18
301.57;303.73;285.35;297.42
303;310.16;297.95;300.12
303.25;324.99;302.56;310.02
291.77;313;280;312.08
302.05;312.49;287.76;291
308.69;316.3;300.52;311.46
328;329.44;309.47;318.78
333.12;341.15;325.33;331.14
339.97;344.42;325.81;331.22
362.15;368.88;341.31;342.24
353.44;372.36;345.5;366.94
357.58;362.99;341.43;346.49
356.16;371.96;354.27;359.36
368.46;372;358.37;359.69
365.79;371;352.37;358
339.05;369.31;328.51;368.75
334.81;343;325.6;329.49
326.47;350.47;324.74;339.29
353.65;358;337.99;352.32
356.99;369.69;344;355.67
372.39;383.78;362;362.75
379.75;380.98;359.59;379.32
378.96;386;363.55;372.54
332.76;356.5;309.44;353.02
354.65;359;338.83;339.17
393.53;394.5;357;362.71
355.79;381.95;345.75;381.02
313.16;341.89;310.3;332
344.52;348.57;321.67;328.98
330.16;358.99;326.11;338.11
373.33;374.98;345.37;346.01
373.98;375.99;357.16;371.21
397.35;412.5;383.07;386.91
409.79;409.98;386;390.49
411.15;416.98;403.1;411.72
395.98;425.08;392.32;400.52
419.51;423.51;380.71;381
428;437.16;421.03;431.04
438.84;450;435.98;439.6
430.34;445;430.11;435.11
433.25;440.79;425.72;429.27
454.13;454.13;429;430.14
461;462.07;443.28;449.15
422.64;439.18;410.5;439.08
438.48;439.14;413.44;414.49
425.96;449.28;425.49;442.93
424;441.97;423.71;433.86
